Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
11,Sushanta Mahato,BAGHMUNDI,AITC,0,Post Graduate,Rs 1365410,~ 13 Lacs+,Rs 402634,~ 4 Lacs+
25,Tapas Roy,BARANAGAR,AITC,0,Graduate Professional,Rs 30515144,~ 3 Crore+,Rs 2879321,~ 28 Lacs+
8,Abhedananda Thander,AUSGRAM (SC),AITC,0,10th Pass,Rs 5955039,~ 59 Lacs+,Rs 0,~
93,Sankar Kumar Naskar,FALTA,AITC,0,8th Pass,Rs 16430004,~ 1 Crore+,Rs 0,~
17,Rana Chatterjee,BALLY,AITC,0,Graduate Professional,Rs 20016231,~ 2 Crore+,Rs 10481458,~ 1 Crore+
6,Moloy Ghatak,ASANSOL UTTAR,AITC,0,Graduate Professional,Rs 32230354,~ 3 Crore+,Rs 8539714,~ 85 Lacs+
3,Sukanta Kumar Paul,AMTA,AITC,0,Post Graduate,Rs 1939357,~ 19 Lacs+,Rs 0,~
91,Swarna Kamal Saha,ENTALLY,AITC,0,Graduate Professional,Rs 105194928,~ 10 Crore+,Rs 0,~
19,Ashok Kumar Lahiri,BALURGHAT,BJP,0,Doctorate,Rs 74309351,~ 7 Crore+,Rs 0,~
97,Satyendra Nath Ray,GANGARAMPUR (SC),BJP,0,10th Pass,Rs 5614670,~ 56 Lacs+,Rs 0,~
88,Pradip Mazumdar,DURGAPUR PURBA,AITC,0,Post Graduate,Rs 181427531,~ 18 Crore+,Rs 1887096,~ 18 Lacs+
22,Ashok Kirtania,BANGAON UTTAR (SC),BJP,0,Graduate,Rs 25319117,~ 2 Crore+,Rs 3734208,~ 37 Lacs+
